org_unit_id,cargo,week_start,banda,minutos_cubiertos,minutos_cubiertos_alta,minutos_cubiertos_media,minutos_cubiertos_baja,pct_alta
PERU 805,Administrador de tienda,2026-03-30,INTERMEDIO,1200,1200,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,MANANA,960,960,0,0,100.0
PERU 805,Administrador de tienda,2026-03-30,NOCHE,540,540,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,MANANA,990,990,0,0,100.0
PERU 805,Administrador de tienda,2026-04-06,NOCHE,540,540,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,MANANA,330,330,0,0,100.0
PERU 805,Administrador de tienda,2026-04-13,NOCHE,1110,1110,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,INTERMEDIO,1320,1320,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,MANANA,330,330,0,0,100.0
PERU 805,Administrador de tienda,2026-04-20,NOCHE,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,INTERMEDIO,1290,1290,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,MANANA,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,INTERMEDIO,1260,1260,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,MANANA,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-06,NOCHE,780,780,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,INTERMEDIO,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,MANANA,1020,1020,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-13,NOCHE,570,570,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,INTERMEDIO,990,990,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,MANANA,1110,1110,0,0,100.0
PERU 805,Administrador de tienda Jr,2026-04-20,NOCHE,540,540,0,0,100.0
PERU 805,Operador,2026-03-30,INTERMEDIO,2910,2910,0,0,100.0
PERU 805,Operador,2026-03-30,MANANA,2820,2820,0,0,100.0
PERU 805,Operador,2026-03-30,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-06,INTERMEDIO,3030,3030,0,0,100.0
PERU 805,Operador,2026-04-06,MANANA,2610,2610,0,0,100.0
PERU 805,Operador,2026-04-06,NOCHE,1620,1620,0,0,100.0
PERU 805,Operador,2026-04-13,INTERMEDIO,2940,2940,0,0,100.0
PERU 805,Operador,2026-04-13,MANANA,2790,2790,0,0,100.0
PERU 805,Operador,2026-04-13,NOCHE,1350,1350,0,0,100.0
PERU 805,Operador,2026-04-20,INTERMEDIO,3090,3090,0,0,100.0
PERU 805,Operador,2026-04-20,MANANA,2550,2550,0,0,100.0
PERU 805,Operador,2026-04-20,NOCHE,1620,1620,0,0,100.0
PERU 805,Operador pt,2026-03-30,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-03-30,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-03-30,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-06,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-04-06,MANANA,900,900,0,0,100.0
PERU 805,Operador pt,2026-04-06,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-13,INTERMEDIO,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-13,MANANA,960,960,0,0,100.0
PERU 805,Operador pt,2026-04-13,NOCHE,60,60,0,0,100.0
PERU 805,Operador pt,2026-04-20,INTERMEDIO,1020,1020,0,0,100.0
PERU 805,Operador pt,2026-04-20,MANANA,840,840,0,0,100.0
PERU 805,Operador pt,2026-04-20,NOCHE,60,60,0,0,100.0
PERU 805,operador,2026-03-30,INTERMEDIO,1170,1170,0,0,100.0
PERU 805,operador,2026-03-30,MANANA,840,840,0,0,100.0
PERU 805,operador,2026-03-30,NOCHE,810,810,0,0,100.0
PERU 805,operador,2026-04-06,INTERMEDIO,1320,1320,0,0,100.0
